               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.031674,            0.028061,            0.011283,             0.51687,             0.66667,              0.5801,             0.22515,            0.028018,            0.014001,            0.015152,            0.003565,            0.003565,            0.003565
                  67,            0.033286,            0.026349,             0.01008,             0.53969,             0.66667,             0.63946,             0.28373,            0.025592,            0.013818,            0.015872,            0.003466,            0.003466,            0.003466
                  68,            0.041253,            0.028932,             0.01295,             0.53969,             0.66667,             0.63946,             0.28373,            0.025592,            0.013818,            0.015872,            0.003367,            0.003367,            0.003367
                  69,            0.034707,            0.026928,            0.014634,             0.52511,             0.66667,             0.64763,              0.3043,            0.024705,              0.0138,            0.015489,            0.003268,            0.003268,            0.003268
                  70,            0.034564,            0.026079,            0.010437,             0.65155,             0.66667,             0.67122,             0.32445,            0.024607,            0.013787,            0.015257,            0.003169,            0.003169,            0.003169
                  71,            0.031509,            0.026967,            0.010876,             0.73596,             0.57528,             0.68709,              0.3476,            0.027037,            0.013241,            0.012807,             0.00307,             0.00307,             0.00307
                  72,            0.037172,            0.028727,            0.014835,             0.73596,             0.57528,             0.68709,              0.3476,            0.027037,            0.013241,            0.012807,            0.002971,            0.002971,            0.002971
                  73,            0.036531,            0.023311,            0.011388,             0.80349,              0.5742,             0.69689,             0.35586,            0.022879,            0.013297,            0.012299,            0.002872,            0.002872,            0.002872
                  74,            0.035136,             0.02533,            0.011096,             0.53951,             0.58333,             0.56814,             0.28809,            0.024133,            0.013185,            0.011356,            0.002773,            0.002773,            0.002773
                  75,            0.037659,            0.024763,            0.013144,             0.62618,             0.66667,             0.65275,             0.36488,            0.023796,            0.012628,            0.011505,            0.002674,            0.002674,            0.002674
                  76,            0.032976,            0.025817,            0.010543,             0.62618,             0.66667,             0.65275,             0.36488,            0.023796,            0.012628,            0.011505,            0.002575,            0.002575,            0.002575
                  77,            0.030637,            0.024673,           0.0092893,             0.59039,             0.66667,             0.65815,             0.35645,            0.023321,            0.012645,            0.012503,            0.002476,            0.002476,            0.002476
                  78,             0.03444,            0.022594,            0.008267,             0.64535,             0.65406,             0.62094,             0.33625,            0.023251,            0.012543,            0.011847,            0.002377,            0.002377,            0.002377
                  79,            0.033827,            0.027495,           0.0097875,             0.64982,             0.66667,             0.65606,             0.33852,            0.025117,            0.012442,            0.011205,            0.002278,            0.002278,            0.002278
                  80,            0.030482,            0.025384,           0.0074667,             0.64982,             0.66667,             0.65606,             0.33852,            0.025117,            0.012442,            0.011205,            0.002179,            0.002179,            0.002179
                  81,            0.035681,            0.026546,           0.0099877,             0.52608,             0.72578,             0.64676,             0.37517,            0.024248,            0.012669,            0.011542,             0.00208,             0.00208,             0.00208
                  82,            0.035674,            0.020756,           0.0097024,             0.67988,                 0.5,             0.58699,             0.33847,            0.024908,            0.012842,            0.011322,            0.001981,            0.001981,            0.001981
                  83,            0.033375,            0.027807,           0.0091195,             0.54663,             0.66667,             0.65252,             0.34932,             0.02417,            0.012842,            0.011106,            0.001882,            0.001882,            0.001882
                  84,            0.032879,            0.024024,             0.01082,             0.54663,             0.66667,             0.65252,             0.34932,             0.02417,            0.012842,            0.011106,            0.001783,            0.001783,            0.001783
                  85,            0.027509,            0.025221,           0.0086712,              0.5557,             0.58019,             0.58076,              0.3467,            0.024226,            0.012936,            0.011139,            0.001684,            0.001684,            0.001684
                  86,            0.033852,            0.023724,            0.013063,             0.58921,             0.58333,             0.58029,             0.36859,            0.023697,            0.012726,            0.011096,            0.001585,            0.001585,            0.001585
                  87,            0.031096,            0.027196,           0.0095128,             0.59452,             0.58333,             0.58856,             0.31576,            0.025541,            0.013005,            0.011669,            0.001486,            0.001486,            0.001486
                  88,            0.028495,            0.027478,           0.0065073,             0.59452,             0.58333,             0.58856,             0.31576,            0.025541,            0.013005,            0.011669,            0.001387,            0.001387,            0.001387
                  89,             0.02669,            0.025135,           0.0066775,             0.61672,             0.58333,             0.60302,             0.35063,             0.02495,            0.012974,            0.011898,            0.001288,            0.001288,            0.001288
                  90,            0.028772,            0.023539,            0.010928,             0.62894,             0.58333,             0.60424,             0.35922,            0.024084,               0.013,            0.011786,            0.001189,            0.001189,            0.001189
                  91,            0.025914,            0.023307,           0.0087484,             0.60335,             0.58333,             0.60574,             0.37422,            0.023376,             0.01307,            0.011939,             0.00109,             0.00109,             0.00109
                  92,            0.028646,            0.025105,           0.0076535,             0.60335,             0.58333,             0.60574,             0.37422,            0.023376,             0.01307,            0.011939,            0.000991,            0.000991,            0.000991
                  93,            0.029443,            0.025874,           0.0068693,              0.6049,             0.58333,              0.6058,             0.37606,             0.02351,            0.013129,            0.012104,            0.000892,            0.000892,            0.000892
                  94,            0.029225,            0.026872,           0.0079005,             0.58854,             0.58333,             0.58435,             0.36105,            0.023366,            0.013166,            0.012274,            0.000793,            0.000793,            0.000793
                  95,            0.029493,             0.02526,           0.0084585,              0.6055,             0.58333,             0.63076,              0.3956,            0.023393,            0.013196,            0.012347,            0.000694,            0.000694,            0.000694
                  96,            0.028475,              0.0259,             0.00785,              0.6055,             0.58333,             0.63076,              0.3956,            0.023393,            0.013196,            0.012347,            0.000595,            0.000595,            0.000595
                  97,            0.028274,            0.024243,            0.011214,             0.61385,             0.58333,              0.6365,             0.38805,            0.023282,            0.013181,            0.012053,            0.000496,            0.000496,            0.000496
                  98,            0.027954,            0.027611,           0.0082547,             0.59004,             0.51482,             0.63524,             0.38556,            0.023248,            0.013206,            0.012124,            0.000397,            0.000397,            0.000397
                  99,            0.023402,            0.022638,           0.0067808,             0.74826,             0.57544,             0.64614,             0.38213,            0.023051,            0.013181,            0.012071,            0.000298,            0.000298,            0.000298
